CountryCd	Year	CountryName	FieldEducation	Graduates	YoungAdults
IRL	2007	Ireland	Architecture and building (ISC 58)	0	1468100
IRL	2007	Ireland	Education (ISC 14)	3999	1468100
IRL	2007	Ireland	Computing (ISC 48)	0	1468100
IRL	2007	Ireland	Mathematics and statistics (ISC 46)	0	1468100
IRL	2007	Ireland	Social and behavioural science (ISC 31)	0	1468100
IRL	2007	Ireland	Humanities and Arts	10759	1468100
IRL	2007	Ireland	Life sciences (ISC 42)	0	1468100
IRL	2007	Ireland	Environmental protection (ISC 85)	0	1468100
IRL	2007	Ireland	Business and administration (ISC 34)	0	1468100
IRL	2007	Ireland	Journalism and information (ISC 32)	0	1468100
IRL	2007	Ireland	Law (ISC 38)	0	1468100
IRL	2007	Ireland	Engineering and engineering trades (ISC 52)	0	1468100
IRL	2007	Ireland	Engineering, manufacturing and construction	2755	1468100
IRL	2007	Ireland	Transport services (ISC 84)	0	1468100
IRL	2007	Ireland	Health and welfare	6780	1468100
IRL	2007	Ireland	Agriculture	386	1468100
IRL	2008	Ireland	Education (ISC 14)	4066	1500000
IRL	2008	Ireland	Journalism and information (ISC 32)	0	1500000
IRL	2008	Ireland	Humanities and Arts	8791	1500000
IRL	2008	Ireland	Computing (ISC 48)	0	1500000
IRL	2008	Ireland	Mathematics and statistics (ISC 46)	0	1500000
IRL	2008	Ireland	Life sciences (ISC 42)	0	1500000
IRL	2008	Ireland	Engineering and engineering trades (ISC 52)	0	1500000
IRL	2008	Ireland	Transport services (ISC 84)	0	1500000
IRL	2008	Ireland	Engineering, manufacturing and construction	3681	1500000
IRL	2008	Ireland	Architecture and building (ISC 58)	0	1500000
IRL	2008	Ireland	Environmental protection (ISC 85)	0	1500000
IRL	2008	Ireland	Social and behavioural science (ISC 31)	0	1500000
IRL	2008	Ireland	Law (ISC 38)	0	1500000
IRL	2008	Ireland	Health and welfare	5966	1500000
IRL	2008	Ireland	Agriculture	343	1500000
IRL	2008	Ireland	Business and administration (ISC 34)	0	1500000
IRL	2009	Ireland	Social and behavioural science (ISC 31)	2628	1485800
IRL	2009	Ireland	Education (ISC 14)	5976	1485800
IRL	2009	Ireland	Computing (ISC 48)	1545	1485800
IRL	2009	Ireland	Mathematics and statistics (ISC 46)	403	1485800
IRL	2009	Ireland	Law (ISC 38)	1353	1485800
IRL	2009	Ireland	Health and welfare	6397	1485800
IRL	2009	Ireland	Journalism and information (ISC 32)	284	1485800
IRL	2009	Ireland	Transport services (ISC 84)	16	1485800
IRL	2009	Ireland	Engineering, manufacturing and construction	3532	1485800
IRL	2009	Ireland	Environmental protection (ISC 85)	97	1485800
IRL	2009	Ireland	Agriculture	339	1485800
IRL	2009	Ireland	Engineering and engineering trades (ISC 52)	1336	1485800
IRL	2009	Ireland	Life sciences (ISC 42)	1713	1485800
IRL	2009	Ireland	Business and administration (ISC 34)	8992	1485800
IRL	2009	Ireland	Humanities and Arts	6757	1485800
IRL	2009	Ireland	Architecture and building (ISC 58)	1597	1485800
IRL	2010	Ireland	Computing (ISC 48)	1201	1448800
IRL	2010	Ireland	Education (ISC 14)	4893	1448800
IRL	2010	Ireland	Social and behavioural science (ISC 31)	2695	1448800
IRL	2010	Ireland	Health and welfare	7474	1448800
IRL	2010	Ireland	Law (ISC 38)	627	1448800
IRL	2010	Ireland	Life sciences (ISC 42)	1448	1448800
IRL	2010	Ireland	Mathematics and statistics (ISC 46)	1294	1448800
IRL	2010	Ireland	Environmental protection (ISC 85)	97	1448800
IRL	2010	Ireland	Engineering and engineering trades (ISC 52)	1628	1448800
IRL	2010	Ireland	Humanities and Arts	5645	1448800
IRL	2010	Ireland	Journalism and information (ISC 32)	191	1448800
IRL	2010	Ireland	Business and administration (ISC 34)	9196	1448800
IRL	2010	Ireland	Agriculture	407	1448800
IRL	2010	Ireland	Engineering, manufacturing and construction	4362	1448800
IRL	2010	Ireland	Transport services (ISC 84)	87	1448800
IRL	2010	Ireland	Architecture and building (ISC 58)	1873	1448800
IRL	2011	Ireland	Humanities and Arts	7542	1418000
IRL	2011	Ireland	Environmental protection (ISC 85)	109	1418000
IRL	2011	Ireland	Life sciences (ISC 42)	1617	1418000
IRL	2011	Ireland	Health and welfare	7147	1418000
IRL	2011	Ireland	Business and administration (ISC 34)	8956	1418000
IRL	2011	Ireland	Law (ISC 38)	1523	1418000
IRL	2011	Ireland	Education (ISC 14)	4811	1418000
IRL	2011	Ireland	Computing (ISC 48)	1512	1418000
